source_identifier,model,remote_files,parents,has_work_type,local_identifier,ark,acquisition_identifier,oclc,issn,isbn,title,alternative_title,abstract,table_of_contents,utk_creator,date_created,date_issued,date_other,date_created_d,date_issued_d,date_other_d,publisher,utk_publisher,publication_place,utk_place_of_publication,note,extent,instrumentation,first_line,intended_audience,rights_statement,spatial_local,spatial,coordinates,temporal,call_number,bibliographic_citation,provider,intermediate_provider,repository,archival_collection,subject,keyword,form,resource_type,form_local,language,sheetmusic_hostitem,is_part_of,photographer,utk_photographer,creator,contributor,utk_contributor
tenncities:172,Image,,collections:tenncities,https://ontology.lib.utk.edu/works#ImageWork,0012_000067_000272 | 0073 | tenncities:172 | record_spc_3928,,,,,,Chisholm's Tavern,,"John Chisholm built this structure, which he operated as Chisholm's Tavern, on land he bought from James White in 1792. He sold the property sometime before 1800. In this photograph, the building is shown in use as a multi-family residence. The structure was razed in December 1966.",,,1930-1966,1978,,1930/1966,,,,Donning Company Publishers,,"253 West Bute Street, Norfolk, VA 23510",,,,,,http://rightsstatements.org/vocab/CNE/1.0/,Knoxville (Tenn.),http://id.loc.gov/authorities/names/n79109786,"35.96064, -83.92074",,,,"University of Tennessee, Knoxville. Libraries",,"University of Tennessee, Knoxville. Special Collections","Photographs of Tennessee Cities Collection, MS.0951",http://id.loc.gov/authorities/subjects/sh85040261 | http://id.loc.gov/authorities/subjects/sh85101268 | http://id.loc.gov/authorities/subjects/sh00007640,,http://vocab.getty.edu/aat/300046300,http://id.loc.gov/vocabulary/resourceTypes/img,,,,https://n2t.net/ark:/87290/v8kd1w2w,,,,,
tenncities:364,Image,,collections:tenncities,https://ontology.lib.utk.edu/works#ImageWork,0012_000067_000464 | 0265 | tenncities:364 | record_spc_4120,,,,,,Knoxville General Hospital,,Knoxville General Hospital opened on Cleveland Place in 1902. It served as Knoxville's primary hospital until August 1956 when it was replaced by University of Tennessee Memorial Hospital (later University of Tennessee Medical Center).,,,1917,,,1917,,,,,,,,,,,,http://rightsstatements.org/vocab/CNE/1.0/,Knoxville (Tenn.),http://id.loc.gov/authorities/names/n79109786,"35.96064, -83.92074",,,,"University of Tennessee, Knoxville. Libraries",,"University of Tennessee, Knoxville. Special Collections","Photographs of Tennessee Cities Collection, MS.0951",http://id.loc.gov/authorities/subjects/sh2006007120 | http://id.loc.gov/authorities/subjects/sh85101268 | http://id.loc.gov/authorities/subjects/sh00007640,Chas. C. Cullen & Co.,http://vocab.getty.edu/aat/300046300,http://id.loc.gov/vocabulary/resourceTypes/img,,,,https://n2t.net/ark:/87290/v8kd1w2w,,,,,
tenncities:151,Image,,collections:tenncities,https://ontology.lib.utk.edu/works#ImageWork,0012_000067_000251 | 0052 | tenncities:151 | record_spc_3907,,,,,,M. B. Arnstein & Co. Department Store,,"View of M. B. Arnstein & Co. Department Store on the corner of Market Street and Union Avenue in downtown Knoxville. Opened by Max B. Arnstein (1858-1961) in 1905, the store ultimately closed in 1928.",,,1925,1976,,1925,,,,"Knoxville History Committee, East Tennessee Historical Society",http://id.loc.gov/authorities/names/n79109786,,,,,,,http://rightsstatements.org/vocab/CNE/1.0/,Knoxville (Tenn.),http://id.loc.gov/authorities/names/n79109786,"35.96064, -83.92074",,,,"University of Tennessee, Knoxville. Libraries",,"University of Tennessee, Knoxville. Special Collections","Photographs of Tennessee Cities Collection, MS.0951",http://id.loc.gov/authorities/subjects/sh85037015 | http://id.loc.gov/authorities/subjects/sh85101268 | http://id.loc.gov/authorities/subjects/sh00007640,"Arnstein, Max B., 1858-1961",http://vocab.getty.edu/aat/300046300,http://id.loc.gov/vocabulary/resourceTypes/img,,,,https://n2t.net/ark:/87290/v8kd1w2w,http://id.loc.gov/authorities/names/n78030817,,,,
tenncities:581,Image,,collections:tenncities,https://ontology.lib.utk.edu/works#ImageWork,0012_000067_000681 | 0482 | tenncities:581 | record_spc_4337,,,,,,World's Fair grounds looking toward United States Pavilion from near Sunsphere,,"View of the World's Fair grounds looking toward the United States Pavilion. The Knoxville International Energy Exposition (better known as the World's Fair) was held in Knoxville from May to October 1982 on a 67-acre area just west of the city's center. 19 nations in addition to the United States participated in the exposition which drew over 11 million visitors. While many of the buildings constructed for the event were eventually demolished, part of the site ultimately became a public park.",,,May 1982 - October 1982,,,"May 1, 1982/Oct 31, 1982",,,,,,,,,,,,http://rightsstatements.org/vocab/CNE/1.0/,Knoxville (Tenn.),http://id.loc.gov/authorities/names/n79109786,"35.96064, -83.92074",,,,"University of Tennessee, Knoxville. Libraries",,"University of Tennessee, Knoxville. Special Collections","Photographs of Tennessee Cities Collection, MS.0951",http://id.loc.gov/authorities/subjects/sh85046347 | http://id.loc.gov/authorities/subjects/sh85101268 | http://id.loc.gov/authorities/subjects/sh00007640 | http://id.loc.gov/authorities/names/n82114257,,http://vocab.getty.edu/aat/300046300,http://id.loc.gov/vocabulary/resourceTypes/img,,,,https://n2t.net/ark:/87290/v8kd1w2w,,,,,
tenncities:166,Image,,collections:tenncities,https://ontology.lib.utk.edu/works#ImageWork,0012_000067_000266 | 0067 | tenncities:166 | record_spc_3922,,,,,,Knox County Court House,,View of Knox County Court House.,,,1849-1885,,,1849/1885,,,,,,,,,,,,http://rightsstatements.org/vocab/CNE/1.0/,Knoxville (Tenn.),http://id.loc.gov/authorities/names/n79109786,"35.96064, -83.92074",,,,"University of Tennessee, Knoxville. Libraries",,"University of Tennessee, Knoxville. Special Collections","Photographs of Tennessee Cities Collection, MS.0951",http://id.loc.gov/authorities/subjects/sh85033547 | http://id.loc.gov/authorities/subjects/sh85101268 | http://id.loc.gov/authorities/subjects/sh00007640,,http://vocab.getty.edu/aat/300046300,http://id.loc.gov/vocabulary/resourceTypes/img,,,,https://n2t.net/ark:/87290/v8kd1w2w,,,,,
tenncities:280,Image,,collections:tenncities,https://ontology.lib.utk.edu/works#ImageWork,0012_000067_000380 | 0181 | tenncities:280 | record_spc_4036,,,,,,Aerial view of downtown Knoxville,,"Aerial view of Knoxville taken from the south side of the Tennessee River. Visible structures include Gay Street Bridge, Andrew Johnson Hotel, and Hamilton Bank Building.",,"University of Tennessee, Knoxville. Photographic Center","Sep 17, 1963",,,"Sep 17, 1963",,,,,,,,,,,,http://rightsstatements.org/vocab/CNE/1.0/,Knoxville (Tenn.),http://id.loc.gov/authorities/names/n79109786,"35.96064, -83.92074",,,,"University of Tennessee, Knoxville. Libraries",,"University of Tennessee, Knoxville. Special Collections","Photographs of Tennessee Cities Collection, MS.0951",http://id.loc.gov/authorities/subjects/sh85101264 | http://id.loc.gov/authorities/subjects/sh2009118693 | http://id.loc.gov/authorities/subjects/sh85101268 | http://id.loc.gov/authorities/subjects/sh00007640,,http://vocab.getty.edu/aat/300046300,http://id.loc.gov/vocabulary/resourceTypes/img,,,,https://n2t.net/ark:/87290/v8kd1w2w,,,,,
tenncities:488,Image,,collections:tenncities,https://ontology.lib.utk.edu/works#ImageWork,0012_000067_000588 | 0389 | tenncities:488 | record_spc_4244,,,,,,Tennessee River,,"View of the Tennessee River near Knoxville. This image clearly depicts the river at its shallower, pre-Fort Loudon Dam level.",,,1924-1930,,,1924/1930,,,,,,,,,,,,http://rightsstatements.org/vocab/CNE/1.0/,,http://id.loc.gov/authorities/subjects/sh85133887 | http://id.loc.gov/authorities/names/n79109786,"35.96064, -83.92074",,,,"University of Tennessee, Knoxville. Libraries",,"University of Tennessee, Knoxville. Special Collections","Photographs of Tennessee Cities Collection, MS.0951",http://id.loc.gov/authorities/subjects/sh00007640,Knoxville Engraving Co.,http://vocab.getty.edu/aat/300046300,http://id.loc.gov/vocabulary/resourceTypes/img,,,,https://n2t.net/ark:/87290/v8kd1w2w,,,,,
tenncities:152,Image,,collections:tenncities,https://ontology.lib.utk.edu/works#ImageWork,0012_000067_000252 | 0053 | tenncities:152 | record_spc_3908,,,,,,Barracks for Federal troops,,A reproduction of a Lloyd Branson painting showing an 18th century Knoxville fort constructed to house federal troops posted for defense. The structure was located near what is now the corner of Gay Street and Main Street.,,"Branson, Lloyd, 1854-1925",1874-1925,1978,,1874/1925,,,,Donning Company Publishers,,"253 West Bute Street, Norfolk, VA 23510",,,,,,http://rightsstatements.org/vocab/NoC-US/1.0/,Knoxville (Tenn.),http://id.loc.gov/authorities/names/n79109786,"35.96064, -83.92074",,,,"University of Tennessee, Knoxville. Libraries",,"University of Tennessee, Knoxville. Special Collections","Photographs of Tennessee Cities Collection, MS.0951",http://id.loc.gov/authorities/subjects/sh85011921 | http://id.loc.gov/authorities/subjects/sh85124589 | http://id.loc.gov/authorities/subjects/sh00007640,,http://vocab.getty.edu/aat/300033618,http://id.loc.gov/vocabulary/resourceTypes/img,,,,https://n2t.net/ark:/87290/v8kd1w2w,,,,,
tenncities:455,Image,,collections:tenncities,https://ontology.lib.utk.edu/works#ImageWork,0012_000067_000555 | 0356 | tenncities:455 | record_spc_4211,,,,,,Main Avenue,,View down Main Avenue looking west from Walnut Street.,,,1908,,,1908,,,,,,,,,,,,http://rightsstatements.org/vocab/CNE/1.0/,Knoxville (Tenn.),http://id.loc.gov/authorities/names/n79109786,"35.96064, -83.92074",,,,"University of Tennessee, Knoxville. Libraries",,"University of Tennessee, Knoxville. Special Collections","Photographs of Tennessee Cities Collection, MS.0951",http://id.loc.gov/authorities/subjects/sh85128662 | http://id.loc.gov/authorities/subjects/sh00007640,"Howard, Monroe",http://vocab.getty.edu/aat/300046300,http://id.loc.gov/vocabulary/resourceTypes/img,,,,https://n2t.net/ark:/87290/v8kd1w2w,,,,,
tenncities:441,Image,,collections:tenncities,https://ontology.lib.utk.edu/works#ImageWork,0012_000067_000541 | 0342 | tenncities:441 | record_spc_4197,,,,,,View of Downtown Knoxville,,View of downtown Knoxville showing a number of the city's more prominent buildings and the nearby mountains.,,Gary Heatherly Images,1991-2006,,,1991/2006,,,,,,,,,,,,http://rightsstatements.org/vocab/CNE/1.0/,Knoxville (Tenn.),http://id.loc.gov/authorities/names/n79109786,"35.96064, -83.92074",,,,"University of Tennessee, Knoxville. Libraries",,"University of Tennessee, Knoxville. Special Collections","Photographs of Tennessee Cities Collection, MS.0951",http://id.loc.gov/authorities/subjects/sh2009118693 | http://id.loc.gov/vocabulary/graphicMaterials/tgm002111 | http://id.loc.gov/authorities/subjects/sh85101268 | http://id.loc.gov/authorities/subjects/sh00007640,Impact FL Inc.,http://vocab.getty.edu/aat/300046300,http://id.loc.gov/vocabulary/resourceTypes/img,,,,https://n2t.net/ark:/87290/v8kd1w2w,,,,,
tenncities:468,Image,,collections:tenncities,https://ontology.lib.utk.edu/works#ImageWork,0012_000067_000568 | 0369 | tenncities:468 | record_spc_4224,,,,,,Gay Street,,View of Gay Street in downtown Knoxville.,,,1902-1906,,,1902/1906,,,,,,,,,,,,http://rightsstatements.org/vocab/CNE/1.0/,Knoxville (Tenn.),http://id.loc.gov/authorities/names/n79109786,"35.96064, -83.92074",,,,"University of Tennessee, Knoxville. Libraries",,"University of Tennessee, Knoxville. Special Collections","Photographs of Tennessee Cities Collection, MS.0951",http://id.loc.gov/authorities/subjects/sh85128662 | http://id.loc.gov/authorities/subjects/sh85101268 | http://id.loc.gov/authorities/subjects/sh00007640,Carter & Gut,http://vocab.getty.edu/aat/300046300,http://id.loc.gov/vocabulary/resourceTypes/img,,,,https://n2t.net/ark:/87290/v8kd1w2w,,,,,
tenncities:544,Image,,collections:tenncities,https://ontology.lib.utk.edu/works#ImageWork,0012_000067_000644 | 0445 | tenncities:544 | record_spc_4300,,,,,,Gay Street (700-800 Block),,"View on Gay Street in downtown Knoxville. Visible businesses include Bijou Theatre, Tinsley Tire Company, and Fox Motor Supply Company. Also visible are electric streetcar tracks.",,,1924-1927,,,1924/1927,,,,,,,,,,,,http://rightsstatements.org/vocab/CNE/1.0/,Knoxville (Tenn.),http://id.loc.gov/authorities/names/n79109786,"35.96064, -83.92074",,,,"University of Tennessee, Knoxville. Libraries",,"University of Tennessee, Knoxville. Special Collections","Photographs of Tennessee Cities Collection, MS.0951",http://id.loc.gov/authorities/subjects/sh2009118693 | http://id.loc.gov/authorities/subjects/sh85101268 | http://id.loc.gov/authorities/subjects/sh00007640,,http://vocab.getty.edu/aat/300046300,http://id.loc.gov/vocabulary/resourceTypes/img,,,,https://n2t.net/ark:/87290/v8kd1w2w,,,,,
tenncities:190,Image,,collections:tenncities,https://ontology.lib.utk.edu/works#ImageWork,0012_000067_000290 | 0091 | tenncities:190 | record_spc_3946,,,,,,Kuhlman's Drug Store No. 2,,"William D. Kuhlman opened the first of his chain of drugstores at 301 Gay Street in 1894. The store pictured, Kuhlman's Drug Store No. 2, opened at 600 S. Gay Street in 1905. It closed in 1909 but later re-opened at 607 S. Gay Street. Kuhlman eventually established three additional stores: one at 310 W. Clinch Avenue, one at 322 N. Gay Street, and one on S. Gay Street near the Tennessee River Bridge.",,,1905-1909,1978,,1905/1909,,,,Donning Company Publishers,,"253 West Bute Street, Norfolk, VA 23510",,,,,,http://rightsstatements.org/vocab/CNE/1.0/,Knoxville (Tenn.),http://id.loc.gov/authorities/names/n79109786,"35.96064, -83.92074",,,,"University of Tennessee, Knoxville. Libraries",,"University of Tennessee, Knoxville. Special Collections","Photographs of Tennessee Cities Collection, MS.0951",http://id.loc.gov/authorities/subjects/sh85039770 | http://id.loc.gov/authorities/subjects/sh85101268 | http://id.loc.gov/authorities/subjects/sh00007640,,http://vocab.getty.edu/aat/300046300,http://id.loc.gov/vocabulary/resourceTypes/img,,,,https://n2t.net/ark:/87290/v8kd1w2w,http://id.loc.gov/authorities/names/n78030817,,,,
tenncities:235,Image,,collections:tenncities,https://ontology.lib.utk.edu/works#ImageWork,0012_000067_000335 | 0136 | tenncities:235 | record_spc_3991,,,,,,View of Knoxville,,Reproduction of a panel of T. M. Schleier's 1865 panorama of Knoxville showing the westernmost part of the city as it appeared shortly after the Civil War. The numbers refer to captions added by John S. Van Gilder in 1936.,,,1865,,,1865,,,,,,,,,,,,http://rightsstatements.org/vocab/CNE/1.0/,Knoxville (Tenn.),http://id.loc.gov/authorities/names/n79109786,"35.96064, -83.92074",,,,"University of Tennessee, Knoxville. Libraries",,"University of Tennessee, Knoxville. Special Collections","Photographs of Tennessee Cities Collection, MS.0951",http://id.loc.gov/authorities/subjects/sh85097477 | http://id.loc.gov/authorities/subjects/sh00007640,,http://vocab.getty.edu/aat/300046300,http://id.loc.gov/vocabulary/resourceTypes/img,,,,https://n2t.net/ark:/87290/v8kd1w2w,http://id.loc.gov/authorities/names/n2003126748,,,,
tenncities:538,Image,,collections:tenncities,https://ontology.lib.utk.edu/works#ImageWork,0012_000067_000638 | 0439 | tenncities:538 | record_spc_4294,,,,,,View east from the Hill Street Bridge,,View looking east from the Hill Street Bridge.,,,1919,1919,,1919,,,,,,,,,,,,http://rightsstatements.org/vocab/CNE/1.0/,Knoxville (Tenn.),http://id.loc.gov/authorities/names/n79109786,"35.96064, -83.92074",,,,"University of Tennessee, Knoxville. Libraries",,"University of Tennessee, Knoxville. Special Collections","Photographs of Tennessee Cities Collection, MS.0951",http://id.loc.gov/authorities/subjects/sh85062603 | http://id.loc.gov/authorities/subjects/sh85101268 | http://id.loc.gov/authorities/subjects/sh00007640,,http://vocab.getty.edu/aat/300046300,http://id.loc.gov/vocabulary/resourceTypes/img,,,,https://n2t.net/ark:/87290/v8kd1w2w,http://id.loc.gov/authorities/names/n91037596,,,,
tenncities:207,Image,,collections:tenncities,https://ontology.lib.utk.edu/works#ImageWork,0012_000067_000307 | 0108 | tenncities:207 | record_spc_3963,,,,,,Interior of Whittle Springs Hotel,,"The original Whittle Springs Hotel was built in about 1902 about three miles to the north of Knoxville. It advertised such conveniences as electric lights, baths, unexcelled cuisine, and both telephone and telegraph connections. This structure burned in 1919, and the second Whittle Springs Hotel was constructed on the same site. This building was razed in 1964.",,,1902-1919,,,1902/1919,,,,,,,,,,,,http://rightsstatements.org/vocab/CNE/1.0/,Knox County (Tenn.),http://id.loc.gov/authorities/names/n81102870,"35.99322, -83.93709",,,,"University of Tennessee, Knoxville. Libraries",,"University of Tennessee, Knoxville. Special Collections","Photographs of Tennessee Cities Collection, MS.0951",http://id.loc.gov/authorities/subjects/sh85062487 | http://id.loc.gov/authorities/subjects/sh85101228,,http://vocab.getty.edu/aat/300046300,http://id.loc.gov/vocabulary/resourceTypes/img,,,,https://n2t.net/ark:/87290/v8kd1w2w,,,,,
